# CSV con los patrones de movimiento

# patron id 0 - Baja 182f (13blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 182    # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 1 - Baja 168f (12blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 168    # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 2 - Baja 154f (11blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 154    # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 3 - Baja 140f (10blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 140    # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 4 - Baja 126f (9blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 126    # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 5 - Baja 112f (8blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 112    # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 6 - Baja 98f (7blq) y tuerze a la Der
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 98     # 0
  20    ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10


# patron id 7 - Baja 182f (13blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 182    # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 8 - Baja 168f (12blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 168    # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 9 - Baja 154f (11blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 154    # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 10 - Baja 140f (10blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 140    # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 11 - Baja 126f (9blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 126    # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 12 - Baja 112f (8blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 112    # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10

# patron id 13 - Baja 98f (7blq) y tuerze a la Izq
# maxSteps ; vx0   ; vy0
  2        ; 0     ; 20
# pasos id 0
# ax    ; ay    ; ticks
  0     ; 0     ; 98     # 0
  -20   ; -20   ; 1
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 5
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0
  0     ; 0     ; 0      # 10



# patron id 0 - Baja y tuerze a la Izq
# maxSteps ; vx0   ; vy0
4          ; 0     ; 20
# pasos id 0
# ax  ; ay  ; ticks
0     ; 0   ; 160    # 0
0     ; -1  ; 20
0     ; 0   ; 10
20    ; 0   ; 1
0     ; 0   ; 0
0     ; 0   ; 0      # 5
0     ; 0   ; 0
0     ; 0   ; 0
0     ; 0   ; 0
0     ; 0   ; 0
0     ; 0   ; 0      # 10


