# Datos tipos de disparo
# graph     , damage  , energy  , delay   , speed , dispersionValue , dispersionType
001         , 2       , 1       , 6       , 30    , 2000            , 1
002         , 5       , 1       , 10      , 30    , 2000            , 1
003         , 5       , 1       , 10      , 30    , 0               , 0
# Vulcan
100         , 1       , 1       , 2       , 140   , 5000            , 2
100         , 1       , 1       , 1       , 140   , 5000            , 2
102         , 2       , 1       , 1       , 140   , 5000            , 2
101         , 3       , 2       , 1       , 140   , 5000            , 2
103         , 6       , 3       , 1       , 140   , 5000            , 2
# Laser
110         , 1       , 1       , 1       , 280   , 0               , 3
111         , 2       , 2       , 1       , 280   , 0               , 3
112         , 3       , 2       , 1       , 280   , 0               , 3
113         , 4       , 3       , 1       , 280   , 0               , 3
114         , 5       , 3       , 1       , 280   , 0               , 3

# vim: set fileencoding=cp850 :
