# Datos tipos de disparo
# graph     , damage  , energy  , delay   , speed , dispersionValue , dispersionType
001         , 2       , 1       , 6       , 30    , 2000            , RAND
002         , 5       , 1       , 10      , 30    , 2000            , RAND
003         , 5       , 1       , 10      , 30    , 0               , NONE
# Vulcan
100         , 1       , 1       , 2       , 140   , 5000            , SINE
100         , 1       , 1       , 1       , 140   , 5000            , SINE
102         , 2       , 1       , 1       , 140   , 5000            , SINE
101         , 3       , 2       , 1       , 140   , 5000            , SINE
103         , 6       , 3       , 1       , 140   , 5000            , SINE
# Laser
110         , 1       , 1       , 1       , 280   , 0               , FOLLOW_Y_FATHER
111         , 2       , 2       , 1       , 280   , 0               , FOLLOW_Y_FATHER
112         , 3       , 2       , 1       , 280   , 0               , FOLLOW_Y_FATHER
113         , 4       , 3       , 1       , 280   , 0               , FOLLOW_Y_FATHER
114         , 5       , 3       , 1       , 280   , 0               , FOLLOW_Y_FATHER

# vim: set fileencoding=cp850 :
