# Datos tipos de disparo
# graph     ; damage  ; energy  ; delay   ; speed ; dispersionValue ; dispersionType
001         ; 1       ; 1       ; 5       ; 50    ; 2000            ; 0
002         ; 2       ; 1       ; 5       ; 50    ; 2000            ; 1
# Vulcan
100         ; 1       ; 1       ; 2       ; 140   ; 5000            ; 2
100         ; 1       ; 1       ; 1       ; 140   ; 5000            ; 2
102         ; 2       ; 1       ; 1       ; 140   ; 5000            ; 2
101         ; 3       ; 2       ; 1       ; 140   ; 5000            ; 2
103         ; 6       ; 3       ; 1       ; 140   ; 5000            ; 2
# Laser
110         ; 2       ; 2       ; 1       ; 140   ; 0               ; 3

# vim: set fileencoding=cp850 :
