# Nivel 01
# tileMapId ;  bossId ; bossSpawnTime ; numberOfGroups  ; tileMapRows
  1         ;  -1     ; 0             ; 6               ; 144

# Grupos de naves (hasta 64)
# grupo 0
# x0    ; y0    ; formationType ; spawnTime ; bonusType
  1320  ; -1680 ; 0             ; 50        ; 0
# enemyType[0]  ; enemyType[1]  ; enemyType[2]  ; enemyType[3]  ; enemyType[4]  ; enemyType[5]  ; enemyType[6]
  1             ; 1             ; 1             ; 1             ; 1             ; 1             ; 1
# pathId[0]     ; pathId[1]     ; pathId[2]     ; pathId[3]     ; pathId[4]     ; pathId[5]     ; pathId[6]
  0             ; 1             ; 2             ; 3             ; 4             ; 5             ; 6

# grupo 1
# x0    ; y0    ; formationType ; spawnTime ; bonusType
  4680  ; -1960 ; 0             ; 150       ; -1
# enemyType[0]  ; enemyType[1]  ; enemyType[2]  ; enemyType[3]  ; enemyType[4]  ; enemyType[5]  ; enemyType[6]
  1             ; 1             ; 1             ; 1             ; 1             ; 1             ; 1
# pathId[0]     ; pathId[1]     ; pathId[2]     ; pathId[3]     ; pathId[4]     ; pathId[5]     ; pathId[6]
  7             ; 8             ; 9             ; 10            ; 11            ; 12            ; 13

# grupo 2
# x0    ; y0    ; formationType ; spawnTime ; bonusType
  6000  ; 550   ; 4             ; 250       ; -1
# enemyType[0]  ; enemyType[1]  ; enemyType[2]  ; enemyType[3]  ; enemyType[4]  ; enemyType[5]  ; enemyType[6]
  1             ; 1             ; 1             ; 1             ; 1             ; 1             ; 1
# pathId[0]     ; pathId[1]     ; pathId[2]     ; pathId[3]     ; pathId[4]     ; pathId[5]     ; pathId[6]
  18            ; 18            ; 18            ; 18            ; 18            ; 18            ; 18

# grupo 3
# x0    ; y0    ; formationType ; spawnTime ; bonusType
  -60   ; 450   ; 5             ; 250       ; 1
# enemyType[0]  ; enemyType[1]  ; enemyType[2]  ; enemyType[3]  ; enemyType[4]  ; enemyType[5]  ; enemyType[6]
  1             ; 1             ; 1             ; 1             ; 1             ; 1             ; 1
# pathId[0]     ; pathId[1]     ; pathId[2]     ; pathId[3]     ; pathId[4]     ; pathId[5]     ; pathId[6]
  16            ; 16            ; 16            ; 16            ; 16            ; 16            ; 16

# grupo 4
# x0    ; y0    ; formationType ; spawnTime ; bonusType
  3000  ; -1960 ; 13            ; 250       ; 1
# enemyType[0]  ; enemyType[1]  ; enemyType[2]  ; enemyType[3]  ; enemyType[4]  ; enemyType[5]  ; enemyType[6]
  1             ; 1             ; 1             ; -1            ; 1             ; 1             ; -1
# pathId[0]     ; pathId[1]     ; pathId[2]     ; pathId[3]     ; pathId[4]     ; pathId[5]     ; pathId[6]
  14            ; 0             ; 7             ; 14            ; 7             ; 0             ; 14


# grupo 5
# x0    ; y0    ; formationType ; spawnTime ; bonusType
  1000  ; -300  ; 1             ; 250       ; -1
# enemyType[0]  ; enemyType[1]  ; enemyType[2]  ; enemyType[3]  ; enemyType[4]  ; enemyType[5]  ; enemyType[6]
  0             ; 0             ; 0             ; 0             ; 0             ; -1            ; -1
# pathId[0]     ; pathId[1]     ; pathId[2]     ; pathId[3]     ; pathId[4]     ; pathId[5]     ; pathId[6]
  3             ; 4             ; 2             ; 5             ; 1             ; 6              ; 0


# vim: set fileencoding=cp850 :
